CONVENER,DOORS,LOCATION,MUNICIPAL,MUNICIPALITY,START,TIME
John Patrick,,Mt. Valley High School,,ROXBURY,,1:00
John Patrick,,Mt. Valley High School,,RUMFORD,,1:00
Skipp Green,,Waterford Town Office,,STONEHAM,,4:00
Jim Wilfong,,Fryeburg Legion Hall,,STOW,,2:00
Don Berry,,Sumner Town Office,,SUMNER,,1:00
Kathiann Shorey,,Charlotte Hobbs Library,,SWEDEN,,3:00
Irene Kutcha,,Telstar High School,,UPTON,,3:00
Skipp Green,,Waterford Town Office,,WATERFORD,,4:00
Rodney Abbott,,West Paris Town Office,,WEST PARIS,,3:00
Jane Chandler & Maryellen G.,,Telstar High School,,WOODSTOCK,,3:00
Claudia Darneille,,Telstar High School,,LINCOLN PLT,,3:00
Claudia Darneille,,Telstar High School,,MAGALLOWAY,,3:00
Laura Sanborn,,Alton Town Office,ALTON,,,1:00PM
Laura Sanborn,,Alton Town Office,ARGYLE TWP,,,1:00 PM
William Sullivan,,Bangor High School,BANGOR,,,1:00PM
Christopher Almy,,Home of Christopher Almy 296 Bradford Rd Charleston,BRADFORD,,,4:00PM
Roger Hicks,,Bradley Town Hall,BRADLEY,,,4:00PM
Paul Davis,,Brewer Auditorium,BREWER,,,2:00PM
Pat Locke,,Mattanawcook Academy Cafetorium,BURLINGTON,,,2:00PM
Eric Goodale,,Hermon High School,CARMEL,,,3:00PM
Deanna House,,Mattanawcook Academy Cafetorium,CARROLL PLT,,,2:00PM
Christopher Almy,,Home of Christopher Almy 296 Bradford Rd Charleston,CHARLESTON,,,4:00PM
Pat Locke,,Mattanawcook Academy Cafetorium,CHESTER,,,2:00PM
Stephen Wong,,Clifton Town Office,CLIFTON,,,1:00PM
David Pearson,,Dexter Town Office,CORINNA,,,1:30PM
David Pearson,,Dexter Town Office,CORINTH,,,1:30PM
David Pearson,,Dexter Town Office,DEXTER,,,1:30PM
Shane Barker,,Etna-Dixmont School,DIXMONT,,,1:00PM
Deanna House,,Mattanawcook Academy Cafetorium,DREW PLT,,,2:00PM
Charlie Pray,,Stearns High School,EAST MILLINOCKET,,,1:00PM
Bruce Pratt,,Eddington Town Hall,EDDINGTON,,,2:00PM
Lisa Jipson,,Howland Town Office,EDINBURG,,,5:00PM
Pam Hatch,,Howland Town Office,ENFIELD,,,5:00PM
Cindy & Don Todd,,Etna Town Office,ETNA,,,1:00PM
David Pearson,,Dexter Town Office,EXETER,,,1:30PM
Jacques Weinstein,,Garland Town Office,GARLAND,,,1:00PM
Bob Toole,,Glenburn Town Office,GLENBURN,,,1:00PM
Pat Locke,,Mattanawcook Academy Cafetorium,GRAND FALLS TWP,,,2:00PM
Laura Sanborn,,Alton Town Office,GREENBUSH,,,1:00PM
Pam Bell,,Milford Municipal Building,GREENFIELD TWP,,,2:00 PM
Charlie Pray,,Stearns High School Library,GRINDSTONE TWP/ HERSEYTOWN TWP/ SOLDIERTOWN TWP T2 R7 WELS,,,1:00
Jaric Fontaine,,Skehan Recreation Center (1 Main Rd N),HAMPDEN,,,1:30PM
Kurt Keefe,,Hermon High School,HERMON,,,3:00PM
Ellen Campbell,,Holden Town Office,HOLDEN,,,1:00PM
Lisa Jipson,,Howland Town Office,HOWLAND,,,5:00PM
Sandra Duchesne,,Hudson Town Office,HUDSON,,,3:00 PM
D Mitchell,,Glenburn Town Office,KENDUSKEAG,,,1:00PM
Deanna House,,Mattanawcook Academy Cafetorium,KINGMAN TWP,,,2:00 PM
Pam Hatch,,Howland Town Office,LAGRANGE,,,5:00 PM
Deanna House,,Mattanawcook Academy Cafetorium,LAKEVILLE,,,2:00 PM
Deanna House,,Mattanawcook Academy Cafetorium,LEE,,,2:00 PM
Bob Toole,,Glenburn Town Office,LEVANT,,,1:00PM
Pat Locke,,Mattanawcook Academy Cafetorium,LINCOLN,,,2:00PM
Pat Locke,,Mattanawcook Academy Cafetorium,LOWELL,,,2:00PM
Deanna House,,Mattanawcook Academy Cafetorium,MATTAMISCONTIS TWP,,,2:00 PM
Allen Straub,,Mattawamkeag Municipal Building,MATTAWAMKEAG,,,1:30PM
Lisa Jipson,,Howland Town Office,MAXFIELD,,,5:00 PM
Charlie Pray,,Stearns High School Library,MEDWAY,,,1:00 PM
Pam Bell,,Milford Town Office,MILFORD,,,2:00PM
Charlie Pray,,Stearns High School Library,MILLINOCKET,,,1:00 PM
Patrick Hunt,,Hunt Law Office (7 Sherman St Island Falls),MOUNT CHASE,,,1:00 PM
Jaric Fontaine,,Skehan Rec Center (1 Main Rd N Hampden),NEWBURGH,,,1:30 PM
Kate Burgess Rush,,Newport Town Office,NEWPORT,,,1:00 PM
Julie Grab,,Old Town High School,OLD TOWN,,,2:00PM
Shana Goodall,,Rm 100 Donald P. Corbett Building UMaine,ORONO,,,2:00PM
Erich Hunter,,Orrington Town Office,ORRINGTON,,,3:30PM
Lisa Jipson,,Howland Town Office,PASSADUMKEAG,,,5:00 PM
Patrick Hunt,,Hunt Law Office (7 Sherman St Island Falls),PATTEN,,,1:00 PM
Theodore Bear Mitchell,,Old Town High School,PENOBSCOT NATION VOTING DISTRICT,,,2:00PM
,,,PENOBSCOT TWPS,,,
Kate Rush,,Newport Town Office,PLYMOUTH,,,1:00PM
Deanna House,,Mattanawcook Academy Cafetorium,PRENTISS TWP,,,2:00 PM
Lisa Jipson,,Howland Town Office,SEBOEIS PLT,,,5:00 PM
Deanna House,,Mattanawcook Academy Cafetorium,SPRINGFIELD,,,2:00 PM
Patrick Hunt,,Hunt Law Office (7 Sherman St Island Falls),STACYVILLE,,,1:00 PM
Cindy & Don Todd,,Etna Town Office,STETSON,,,1:00PM
,,,T5 R7 WELS TWP/ T5 R8 WELS TWP/ T6 R8 WELS TWP,,,
Fiona Hamilton,,Room 100 Donald P. Corbett Building UMaine,VEAZIE,,,2:00 PM
Deanna House,,Mattanawcook Academy Cafetorium,WEBSTER PLT,,,2:00 PM
Deanna House,,Mattanawcook Academy Cafetorium,WINN,,,2:00 PM
Pat Locke,,Mattanawcook Academy Cafetorium,WOODVILLE,,,2:00PM
Carole Boothroyd,,Greenville Town Hall,,ABBOT,,1:00PM
Sue Mackey Andrews,,Dover-Foxcroft Town Hall,,ATKINSON,,1:00PM
David Ziemer,,Milo Town Hall,,BARNARD TWP/ EBEEMEE TWP (T5 R9 NWP)/ T4 R9 NWP TWP/ WILLIAMSBURG TWP,,1:00PM
Carole Boothroyd,,Greenville Town Hall,,BEAVER COVE,,1:00PM
Sue Mackey Andrews,,Dover-Foxcroft Town Hall,,BOWERBANK,,1:00PM
David Ziemer,,Milo Town Hall,,BROWNVILLE,,1:00PM
Sue Mackey Andrews,,Dover-Foxcroft Town Hall,,DOVER-FOXCROFT,,1:00PM
Carole Boothroyd,,Greenville Town Hall,,ELLIOTTSVILLE TWP,,1:00PM
Carole Boothroyd,,Greenville Town Hall,,GREENVILLE,,1:00PM
Sue Mackey Andrews,,Dover-Foxcroft Town Hall,,GUILFORD,,1:00PM
Carole Boothroyd,,Greenville Town Hall,,KINGSBURY PLT,,1:00PM
David Ziemer,,Milo Town Hall,,LAKE VIEW PLT,,1:00PM
David Ziemer,,Milo Town Hall,,MEDFORD,,1:00PM
David Ziemer,,Milo Town Hall,,MILO,,1:00PM
Carole Boothroyd,,Greenville Town Hall,,MONSON,,1:00PM
David Ziemer,,Milo Town Hall,,ORNEVILLE TWP,,1:00PM
Sue Mackey Andrews,,Dover-Foxcroft Town Hall,,PARKMAN,,1:00PM
Sue Mackey Andrews,,Dover-Foxcroft Town Hall,,SANGERVILLE,,1:00PM
Sue Mackey Andrews,,Dover-Foxcroft Town Hall,,SEBEC,,1:00PM
Carole Boothroyd,,Greenville Town Hall,,SHIRLEY,,1:00PM
David Ziemer,,Milo Town Hall,,T1 R9 WELS,,1:00PM
David Ziemer,,Milo Town Hall,,T10 R15 WELS TWP,,1:00PM
Carole Boothroyd,,Greenville Town Hall,,WELLINGTON,,1:00PM
Carole Boothroyd,,Greenville Town Hall,,WILLIMANTIC,,1:00PM
Don Kornrumpf,,Arrowsic Fire House,,ARROWSIC,,5:00PM
Susan Lubner,,Bath Middle School,,BATH,,3:30PM
Corley Byras,,Bowdoin Town Office,,BOWDOIN,,1:15PM
Tom Walling,,Bowdoinham Town Hall,,BOWDOINHAM,,1:30PM
Jay Holt,,Georgetown School,,GEORGETOWN,,5:30PM
Beth Rolfe,,Phippsburg Elementary School,,PHIPPSBURG,,4:00PM
Joyce McKenney,,Marcia Buker School,,RICHMOND,,2:00PM
Jane Scease,,Woodside School,,TOPSHAM,,1:00PM
Ernie Stallworth,,West Bath Fire Station,,WEST BATH,,4:30PM
Kate Elmes,,Woolwich Central School,,WOOLWICH,,3:00PM
Daniel Savage,,"Garret Schenck School, Anson",,ANSON,,1:00PM
Harry Akkermann,,Cambridge Town Office,,ATHENS,,1:00PM
,,,,BINGHAM,,
Robert Lovelace,,Brighton Plt Town Office,,BRIGHTON PLT,,1:00PM
Harry Akkermann,,Cambridge Town Office,,CAMBRIDGE,,1:00PM
Craig Heavey,,Canaan Fire Station,,CANAAN,,1:00PM
,,,,CARATUNK,,
,,,,CONCORD TWP,,
Daniel Swain,,Skowhegan High School,,CORNVILLE,,2:00PM
,,,,DENNISTOWN PLT,,
Joan Bradley,,Pittsfield Town Office,,DETROIT,,1:00PM
Daniel Savage,,"Garret Schenck School, Anson",,EMBDEN,,1:00PM
Robert Sezak,,Fairfield Community Center,,FAIRFIELD,,1:00PM
Harry Akkermann,,Cambridge Town Office,,HARMONY,,1:00PM
Craig Heavey,,Canaan Fire Station,,HARTLAND,,1:00PM
,,,,HIGHLAND PLT,,
,,,,JACKMAN,,
,,,,LEXINGTON TWP/ SPRING LAKE TWP,,
Daniel Swain,,Skowhegan High School,,MADISON,,2:00PM
Dennis Culley,,Mercer Community Center,,MERCER,,2:00PM
,,,,MOOSE RIVER,,
Donald Beane,,Moscow Town office,,MOSCOW,,2:00PM
Daniel Savage,,"Garret Schenck School, Anson",,NEW PORTLAND,,1:00PM
Daniel Swain,,Skowhegan High School,,NORRIDGEWOCK,,2:00PM
Craig Heavey,,Canaan Fire Station,,PALMYRA,,1:00PM
Frank Geagan,,Pittsfield Town Office,,PITTSFIELD,,1:00PM
,,,,PLEASANT RIDGE PLT,,
Harry Akkermann,,Cambrige Town Office,,RIPLEY,,1:00PM
,,,,ROCKWOOD STRIP TWP,,
Craig Heavey,,Canaan Fire Station,,SAINT ALBANS,,1:00PM
Daniel Swain,,Skowhegan High School,,SKOWHEGAN,,2:00PM
,,Mercer Community Center,,SMITHFIELD,,2:00PM
Jan Kloub,,Solon Fire Station,,SOLON,,5:00PM
Daniel Savage,,"Garret Schenck School, Anson",,STARKS,,1:00PM
,,,,THE FORKS PLT,,
,,,,WEST FORKS PLT,,
Neal Harkness,,Belfast Area High School,,BELFAST,,4:00 PM
Betty Johnson,,Morrill Community Ctr.,,BELMONT,,1:00 PM
Raymond Quimbly,,Varney Memorial Hall,,BROOKS,,2:00 PM
Nancy Edge,,Burnham Town Hall,,BURNHAM,,2:00 PM
Ron Baker,,West Frankfort Fire House,,FRANKFORT,,3:00 PM
Martha Story-Foisy,,Freedom Town Office,,FREEDOM,,2:00 PM
Craig Olson,,Town Office Meeting Room,,ISLESBORO,,1:15 PM
Bruce Littlefield,,Jackson Community Center,,JACKSON,,3:00 PM
Dennis Harriman,,Knox Town Hall,,KNOX,,4:00 PM
Pam Chase,,Liberty Town Office,,LIBERTY,,2:00 PM
Betty Johnson,,Lincolnville Central School,,LINCOLNVILLE,,3:00 PM
Dan Lawson,,Monroe TownHall,,MONROE,,2:00 PM
Paige Zeigler,,Town Hall,,MONTVILLE,,2:00 PM
Betty Johnson,,Morrill Community Ctr.,,MORRILL,,1:00 PM
Reeves Gilmore,,Edna Drinkwater School,,NORTHPORT,,1:00 PM
Rebecca Stauffer,,Palrmo Town Office,,PALERMO,,2:00 PM
William Sneed,,Prospect Town Office,,PROSPECT,,1:00 PM
Abby Horton,,Searsmont Community Ctr,,SEARSMONT,,2:00 PM
Matthew Hogan,,Union Hall Searsport,,SEARSPORT,,2:00 PM
Michele Greenier,,Stockton Springs Elementary Sch,,STOCKTON SPRINGS,,1:00 PM
Jeff Smith,,Town Office downstairs,,SWANVILLE,,3:00 PM
Jesse Hargrove,,Thorndike Town Office,,THORNDIKE,,3:00 PM
Norma Rossel,,Troy Central School,,TROY,,1:00 PM
John Piotti,,Unity Community Center,,UNITY,,1:00 PM
Jeanne McIntyre,,Waldo Community Center,,WALDO,,1:00 PM
Gary Ennis,,Wagner Middle School,,WINTERPORT,,1:00 PM
Thomas Buchberger & Jennifer Jainer,,"Wreaths Across America, Columbia Falls",,ADDISON,,1:00 PM
Anne Perry,,Baileyville Munipal Building,,ALEXANDER,,4:30 PM
Anne Perry,,Baileyville Munipal Building,,BAILEYVILLE,,4:30 PM
Anne Perry,,Baileyville Munipal Building,,BARING PLT,,4:30 PM
Thomas Buchberger & Jennifer Jainer,,"Wreaths Across America, Columbia Falls",,BEALS,,1:00 PM
Thomas Buchberger & Jennifer Jainer,,"Wreaths Across America, Columbia Falls",,BEDDINGTON,,1:00 PM
Lynne Alciere & Robert Farnsworth,,East Machias Fire Station,,BERRY TWP/ CATHANCE TWP/ MARION TWP,,2:30 PM
Anne Perry,,Baileyville Munipal Building,,CALAIS,,4:30 PM
Thomas Buchberger & Jennifer Jainer,,"Wreaths Across America, Columbia Falls",,CENTERVILLE TWP,,1:00 PM
Katherine Cassidy & Dennis Mahar,,Pembroke Town Hall,,CHARLOTTE,,3:30 PM
Thomas Buchberger & Jennifer Jainer,,"Wreaths Across America, Columbia Falls",,CHERRYFIELD,,1:00 PM
Thomas Buchberger & Jennifer Jainer,,"Wreaths Across America, Columbia Falls",,COLUMBIA,,1:00 PM
Thomas Buchberger & Jennifer Jainer,,"Wreaths Across America, Columbia Falls",,COLUMBIA FALLS,,1:00 PM
Lynne Alciere & Robert Farnsworth,,East Machias Fire Station,,COOPER,,2:30 PM
Anne Perry,,Baileyville Munipal Building,,CRAWFORD,,4:30 PM
Lynne Alciere & Robert Farnsworth,,East Machias Fire Station,,CUTLER,,2:30 PM
Jonathan Goble,,Danforth Town Hall,,DANFORTH,,6:00 PM
Thomas Buchberger & Jennifer Jainer,,"Wreaths Across America, Columbia Falls",,DEBLOIS,,1:00 PM
Katherine Cassidy & Dennis Mahar,,Pembroke Town Hall,,DENNYSVILLE,,3:30 PM
Lynne Alciere & Robert Farnsworth,,East Machias Fire Station,,EAST MACHIAS,,2:30 PM
Katherine Cassidy & Dennis Mahar,,Pembroke Town Hall,,EASTPORT,,3:30 PM
Anne Perry,,Baileyville Munipal Building,,GRAND LAKE STREAM PLT,,4:30 PM
Thomas Buchberger & Jennifer Jainer,,"Wreaths Across America, Columbia Falls",,HARRINGTON,,1:00 PM
Anne Perry,,Baileyville Munipal Building,,INDIAN TOWNSHIP,,4:30 PM
Thomas Buchberger & Jennifer Jainer,,"Wreaths Across America, Columbia Falls",,JONESBORO,,1:00 PM
Thomas Buchberger & Jennifer Jainer,,"Wreaths Across America, Columbia Falls",,JONESPORT,,1:00 PM
Katherine Cassidy & Dennis Mahar,,Pembroke Town Hall,,LUBEC,,3:30 PM
Lynne Alciere & Robert Farnsworth,,East Machias Fire Station,,MACHIAS,,2:30 PM
Lynne Alciere & Robert Farnsworth,,East Machias Fire Station,,MACHIASPORT,,2:30 PM
Lynne Alciere & Robert Farnsworth,,East Machias Fire Station,,MARSHFIELD,,2:30 PM
Anne Perry,,Baileyville Munipal Building,,MEDDYBEMPS,,4:30 PM
"Thomas Buchberger, Jennifer Jainer",,"Wreaths Across America, Columbia Falls",,MILBRIDGE,,1:00 PM
Thomas Buchberger & Jennifer Jainer,,East Machias Fire Station,,NORTHFIELD,,2:30 PM
Katherine Cassidy & Dennis Mahar,,Pembroke Town Hall,,PEMBROKE,,3:30 PM
Katherine Cassidy & Dennis Mahar,,Pembroke Town Hall,,PERRY,,3:30 PM
Katherine Cassidy & Dennis Mahar,,Pembroke Town Hall,,PLEASANT POINT VOTING DISTRICT,,3:30 PM
Anne Perry,,Baileyville Munipal Building,,PRINCETON,,4:30 PM
Anne Perry,,Baileyville Munipal Building,,ROBBINSTON,,4:30 PM
Lynne Alciere & Robert Farnsworth,,East Machias Fire Station,,ROQUE BLUFFS,,2:30 PM
Thomas Buchberger & Jennifer Jainer,,"Wreaths Across America, Columbia Falls",,STEUBEN,,1:00 PM
Jonathan Goble,,Danforth Town Hall,,TALMADGE,,6:00 PM
Jonathan Goble,,Danforth Town Hall,,TOPSFIELD,,6:00 PM
Jonathan Goble,,Danforth Town Hall,,VANCEBORO,,6:00 PM
Jonathan Goble,,Danforth Town Hall,,WAITE,,6:00 PM
Lynne Alciere & Robert Farnsworth,,East Machias Fire Station,,WESLEY,,2:30 PM
Lynne Alciere & Robert Farnsworth,,East Machias Fire Station,,WHITING,,2:30 PM
Lynne Alciere & Robert Farnsworth,,East Machias Fire Station,,WHITNEYVILLE,,2:30 PM
Tom Gore,,Acton Town Hall,,ACTON,,4:00PM
John Flagler,,County Commissioners' Building,,ALFRED,,2:00PM
Amy Davidoff,,Kennebunk Middle School,,ARUNDEL,,1:00PM
Tom Wright,,Berwick Town Hall,,BERWICK,,1:00PM
Priscilla McGuire,,Biddeford Middle School,,BIDDEFORD,,2:00PM
Ron Usher,,Buxton Town Hall,,BUXTON,,1:00PM
Lee Goldsberry,,Cornish Town Hall,,CORNISH,,2:00PM
Lou & Marilyn Gaffen,,"Fairfield School, Saco",,DAYTON,,1:00PM
Donna Murphy,,Eliot Elementary School,,ELIOT,,1:00PM
Dave Durrell,,Buxton Town Hall,,HOLLIS,,1:00PM
Jackie Welch & Diane Denk,,Kennebunk Middle School,,KENNEBUNK,,1:00PM
Tom McClain & Annmarie Briggs,,Kennebunk Middle School,,KENNEBUNKPORT,,1:00PM
Don Hands,,Traip Academy,,KITTERY,,6:00PM
Ellen Harris Howard,,Lebanon Elementary School,,LEBANON,,2:00PM
Gerald Gilpatrick,,Limerick Municiapal Building,,LIMERICK,,2:00PM
Dennis Doughty,,Limington Town Hall,,LIMINGTON,,1:00PM
Joe Wagner,,Lyman Public Library,,LYMAN,,1:00PM
Hilary Wallis & Ann Winn Johnson,,Newfield Town Hall,,NEWFIELD,,2:00PM
Charles Galemmo,,North Berwick Community Center,,NORTH BERWICK,,2:30PM
Lydia Blume,,Dunaway Center,,OGUNQUIT,,6:00PM
Robin Dayton,,Old Orchard Middle School,,OLD ORCHARD BEACH,,2:00PM
Patty O'Day Senior,,Parsonsfield Town Hall,,PARSONSFIELD,,2:00PM
Don Pilon,,Fairfield School,,SACO,,1:00PM
Rachel Sherman,,Sanford High School,,SANFORD,,1:00PM
Diana Tomasello Waterman,,Shapleigh Town Hall,,SHAPLEIGH,,1:00PM
Joe Long,,South Berwick Town Hall,,SOUTH BERWICK,,3:00PM
Gerry Gibson,,Waterboro Central Fire Station,,WATERBORO,,2:00PM
Jochim Howard,,Wells Junior High School,,WELLS,,1:00PM
Victoria Simon,,York Middle School,,YORK,,2:00PM
